"thing_author_id","key.event","comments_count","collection_count","downloads_count","files_count","thing_like_count","made_count","remix_count","remixed_froms_count","views_count","tags_count","design.strategy","ES1","ES2","ES3","ES4"
"--colin--","3",0,0,39,2,0,0,0,2,155,2,"free-riding",0,1,0,0
"-daniel-","1",3,48,1565,10,40,1,0,0,5836,22,"private",0,1,0,0
"-Eddy-","2",4,77,1402,15,52,0,0,0,8132,69,"private",0.875,0.125,0,0
"-ray-","1",0,32,1193,2,17,5,2,0,7648,5,"private",0,1,0,0
"-soapy-","1",1,2,477,2,2,0,0,0,1077,1,"private",1,0,0,0
"___pepsi___","2",0,4,201,3,3,0,0,2,2174,1,"free-riding",0,1,0,0
"__red__","1",4,33,694,4,22,0,0,0,4163,0,"private",0,1,0,0
"__red__","2",0,1,190,3,0,0,0,0,719,0,"private",0,1,0,0
"__Synderz__","3",0,0,8,1,0,0,0,1,27,1,"free-riding",0,1,0,0
"_a6b8","2",0,0,98,2,1,0,0,0,641,0,"private",0,1,0,0
"_achim_","3",0,24,126,1,9,1,0,1,697,0,"free-riding",0,1,0,0
"_Adrian_","2",7,36,375,5,40,0,0,0,3415,11,"private",0,1,0,0
"_aron_","1",4,90,2683,10,76,0,0,1,7282,10,"blended",0,0.5,0,0.5
"_CONEJO","1",1,22,1938,10,18,2,0,0,5371,8,"private",0,1,0,0
"_CONEJO","2",2,10,1268,6,12,1,0,0,4098,9,"private",0,1,0,0
"_Cos_","2",0,0,56,2,0,0,0,2,295,1,"free-riding",1,0,0,0
"_crock","3",0,19,190,2,16,0,0,0,680,0,"private",0,1,0,0
"_jennyspark","2",0,0,27,1,0,0,0,1,141,1,"free-riding",0,1,0,0
"_k0b0ld_","2",0,6,352,10,8,0,0,5,1811,3,"blended",0,1,0,0
"_Kid_","2",0,47,293,3,26,0,0,1,3497,13,"blended",0.333333333333333,0.666666666666667,0,0
"_LewisA_","2",0,8,360,6,5,0,0,6,1446,2,"free-riding",0.333333333333333,0.666666666666667,0,0
"_mage_","1",3,36,1686,8,21,0,1,1,7259,2,"blended",0,1,0,0
"_Magno20_","2",5,65,2149,16,64,2,0,5,10340,22,"blended",0.125,0.875,0,0
"_rider4life_","3",0,NA,NA,0,NA,NA,0,0,NA,0,"private",0,1,0,0
"_ro_","1",0,6,857,4,5,0,0,0,2555,13,"private",1,0,0,0
"_Ron_","2",0,9,87,1,5,0,0,0,1371,8,"private",0,1,0,0
"_sa_","3",0,0,60,2,2,0,0,0,328,0,"private",0,1,0,0
"_VlakvarK_","2",0,0,171,5,0,0,0,5,954,5,"free-riding",0.5,0.5,0,0
"_VlakvarK_","3",0,0,8,1,0,0,0,1,48,1,"free-riding",1,0,0,0
"001FJ","3",0,70,521,18,32,0,0,0,2253,0,"private",0.25,0.75,0,0
"001tech","2",5,111,568,5,72,0,1,0,6624,0,"private",0,1,0,0
"001tech","3",2,40,167,2,48,1,0,0,1976,0,"private",0,1,0,0
"003sorensenc","2",0,0,38,1,0,0,0,1,172,0,"free-riding",0,1,0,0
"00sufs","2",0,6,480,9,14,0,0,0,1994,12,"private",0,1,0,0
"00sufs","3",0,70,578,6,47,1,0,0,2599,0,"private",0.333333333333333,0.666666666666667,0,0
"016sascha","2",0,1,60,2,0,0,0,2,360,2,"free-riding",0,1,0,0
"0311prints","3",2,0,72,6,0,0,0,3,181,2,"free-riding",0,1,0,0
"05brando","3",0,0,35,3,0,0,0,3,180,2,"free-riding",0,0.666666666666667,0,0.333333333333333
"05leftlj","2",0,20,543,12,22,0,0,8,2856,12,"free-riding",0.142857142857143,0.714285714285714,0,0.142857142857143
"05pittockmax","3",0,1,42,1,0,0,0,1,166,1,"free-riding",0,0,0,1
"05WHITES","3",0,0,16,1,0,0,0,1,53,1,"free-riding",0,1,0,0
